,boat_id,Country,boat_type,year,Boat_Make,model,model_type,length_overall,yield_length,beam,draft,height,hull,engine,hp,weight,fuel_type,boat_image,active
103,4414,Sweden,Power,2000,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,
104,4415,Sweden,Power,2000,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,220.0,20000,Diesel,,
105,4416,Sweden,Power,2000,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,350.0,18000,Diesel,,
106,4417,Sweden,Power,2000,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
107,4418,Sweden,Power,1999,Albin Marine,WALK-THRU,INBD,27,,8.5,,,FG,1,300.0,5000,Diesel,,
108,4419,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
109,4420,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,300.0,7500,Diesel,,
110,4421,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 28,STERN,30,,10.0,,,FG,1,230.0,7500,Gasoline,,
111,4422,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,420.0,14000,Diesel,,
112,4423,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,380.0,14000,Gasoline,,
113,4424,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,350.0,14000,Diesel,,
114,4425,Sweden,Power,1999,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,
115,4426,Sweden,Power,1999,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,270.0,20000,Diesel,,
116,4427,Sweden,Power,1999,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,300.0,16000,Diesel,,
117,4428,Sweden,Power,1999,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,350.0,18000,Diesel,,
118,4429,Sweden,Power,1999,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
119,4430,Sweden,Power,1999,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,420.0,18000,Diesel,,
120,4431,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
121,4432,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
122,4433,Sweden,Power,1999,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,420.0,16000,Diesel,,
123,4434,Sweden,Power,1998,Albin Marine,WALK-THRU,INBD,27,,8.5,,,FG,1,300.0,5000,Diesel,,
124,4435,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,300.0,7500,Diesel,,
125,4436,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
126,4437,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 28,STERN,30,,10.0,,,FG,1,230.0,7500,Gasoline,,
127,4438,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,350.0,14000,Diesel,,
128,4439,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,380.0,14000,Gasoline,,
129,4440,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,420.0,14000,Diesel,,
