,Select Field #1,Select Field #2,Select Field #3,Select Field #4,Select Field #5,Select Field #6,,,,
id,Boat_Make,model,made_year,length,Footage_bin,beam,,,,
3165,Chris Craft,21 CARINA HERITAGE EDTN,2015,21,<24',7.916666667,,,,
3166,Chris Craft,21 CARINA TRIM EDTN,2015,21,<24',7.916666667,,,,
3167,Chris Craft,22 LAUNCH,2015,23,<24',8.25,,,,
3168,Chris Craft,22 LAUNCH HERITAGE EDTN,2015,23,<24',8.25,,,,
3169,Chris Craft,22 LAUNCH TRIM EDTN,2015,23,<24',8.25,,,,
3170,Chris Craft,23 CATALINA TEAK ED,2015,23,<24',8.333333333,,,,
3171,Chris Craft,23 CATALINA TRIM ED,2015,23,<24',8.333333333,,,,
3172,Chris Craft,23 CATALINA,2015,23,<24',8.333333333,,,,
3173,Chris Craft,22 CORSAIR,2015,24,<24',8.25,,,,
3174,Chris Craft,22 CORSAIR HERITAGE EDTN,2015,24,<24',8.25,,,,
3175,Chris Craft,22 CORSAIR TRIM EDTN,2015,24,<24',8.25,,,,
3176,Chris Craft,25 CORSAIR,2015,27,25' to 34',8.5,,,,
3177,Chris Craft,25 CORSAIR HERITAGE EDTN,2015,27,25' to 34',8.5,,,,
3178,Chris Craft,25 CORSAIR TRIM EDTN,2015,27,25' to 34',8.5,,,,
3179,Chris Craft,25 LAUNCH,2015,27,25' to 34',8.5,,,,
3180,Chris Craft,25 LAUNCH HERITAGE EDTN,2015,27,25' to 34',8.5,,,,
3181,Chris Craft,25 LAUNCH TRIM EDTN,2015,27,25' to 34',8.5,,,,
3182,Chris Craft,26 CATALINA TEAK ED,2015,27,25' to 34',8.5,,,,
3183,Chris Craft,26 CATALINA TRIM ED,2015,27,25' to 34',8.5,,,,
3184,Chris Craft,26 CATALINA,2015,27,25' to 34',8.5,,,,
3185,Chris Craft,28 CORSAIR,2015,30,25' to 34',10,,,,
3186,Chris Craft,28 CORSAIR HERITAGE EDTN,2015,30,25' to 34',10,,,,
3187,Chris Craft,28 CORSAIR TRIM EDTN,2015,30,25' to 34',10,,,,
3188,Chris Craft,28 LAUNCH,2015,30,25' to 34',10,,,,
3189,Chris Craft,28 LAUNCH HERITAGE EDTN,2015,30,25' to 34',10,,,,
3190,Chris Craft,28 LAUNCH TRIM EDTN,2015,30,25' to 34',10,,,,
3191,Chris Craft,29 CAT ST TEAK ED,2015,30,25' to 34',10.16666667,,,,
3192,Chris Craft,29 CAT ST TRIM ED,2015,30,25' to 34',10.16666667,,,,
3193,Chris Craft,29 CATALINA ST,2015,30,25' to 34',10.16666667,,,,
3194,Chris Craft,32 CORSAIR,2015,34,25' to 34',10.16666667,,,,
3195,Chris Craft,32 CORSAIR HERITAGE EDTN,2015,34,25' to 34',10.16666667,,,,
3196,Chris Craft,32 CORSAIR TRIM EDTN,2015,34,25' to 34',10.16666667,,,,
3197,Chris Craft,32 LAUNCH,2015,34,25' to 34',10,,,,
3198,Chris Craft,32 LAUNCH HERITAGE EDTN,2015,34,25' to 34',10,,,,
3199,Chris Craft,32 LAUNCH TRIM EDTN,2015,34,25' to 34',10,,,,
3200,Chris Craft,CATALINA 34,2015,35,35' to 44',10.83333333,,,,
3201,Chris Craft,36 CORSAIR,2015,38,35' to 44',12.5,,,,
3202,Chris Craft,36 CORSAIR HERITAGE EDTN,2015,38,35' to 44',12.5,,,,
3203,Chris Craft,36 CORSAIR HRTG ED W/HDTP,2015,38,35' to 44',12.5,,,,
3204,Chris Craft,36 CORSAIR TRIM ED W/HDTP,2015,38,35' to 44',12.5,,,,
3205,Chris Craft,36 CORSAIR TRIM EDTN,2015,38,35' to 44',12.5,,,,
3206,Chris Craft,36 CORSAIR W/HARDTOP,2015,38,35' to 44',12.5,,,,
3207,Chris Craft,36 LAUNCH,2015,38,35' to 44',12.5,,,,
3208,Chris Craft,36 LAUNCH HERITAGE EDTN,2015,38,35' to 44',12.5,,,,
3209,Chris Craft,36 LAUNCH TRIM EDTN,2015,38,35' to 44',12.5,,,,
3210,Chris Craft,20 LANCER,2014,20,<24',7.916666667,,,,
3211,Chris Craft,20 LANCER TRIM EDTN,2014,20,<24',7.916666667,,,,
3212,Chris Craft,20 LAUNCH,2014,20,<24',7.916666667,,,,
3213,Chris Craft,20 LAUNCH TRIM EDTN,2014,20,<24',7.916666667,,,,
3214,Chris Craft,20 SILVER BULLET,2014,20,<24',7.916666667,,,,
3215,Chris Craft,21 CAPRI,2014,21,<24',7.916666667,,,,
3216,Chris Craft,21 CAPRI HERITAGE EDTN,2014,21,<24',7.916666667,,,,
3217,Chris Craft,21 CAPRI TRIM EDTN,2014,21,<24',7.916666667,,,,
3218,Chris Craft,21 CARINA,2014,21,<24',7.916666667,,,,
3219,Chris Craft,21 CARINA HERITAGE EDTN,2014,21,<24',7.916666667,,,,
3220,Chris Craft,21 CARINA TRIM EDTN,2014,21,<24',7.916666667,,,,
3221,Chris Craft,22 LAUNCH,2014,23,<24',8.25,,,,
3222,Chris Craft,22 LAUNCH HERITAGE EDTN,2014,23,<24',8.25,,,,
3223,Chris Craft,22 LAUNCH TRIM EDTN,2014,23,<24',8.25,,,,
3224,Chris Craft,23 CATALINA TEAK ED,2014,23,<24',8.333333333,,,,
3225,Chris Craft,23 CATALINA TRIM ED,2014,23,<24',8.333333333,,,,
3226,Chris Craft,23 CATALINA,2014,23,<24',8.333333333,,,,
3227,Chris Craft,22 CORSAIR,2014,24,<24',8.25,,,,
3228,Chris Craft,22 CORSAIR HERITAGE EDTN,2014,24,<24',8.25,,,,
3229,Chris Craft,22 CORSAIR TRIM EDTN,2014,24,<24',8.25,,,,
3230,Chris Craft,25 CORSAIR,2014,27,25' to 34',8.5,,,,
3231,Chris Craft,25 CORSAIR HERITAGE EDTN,2014,27,25' to 34',8.5,,,,
3232,Chris Craft,25 CORSAIR TRIM EDTN,2014,27,25' to 34',8.5,,,,
3233,Chris Craft,25 LAUNCH,2014,27,25' to 34',8.5,,,,
3234,Chris Craft,25 LAUNCH HERITAGE EDTN,2014,27,25' to 34',8.5,,,,
3235,Chris Craft,25 LAUNCH TRIM EDTN,2014,27,25' to 34',8.5,,,,
3236,Chris Craft,26 CATALINA TEAK ED,2014,27,25' to 34',8.5,,,,
3237,Chris Craft,26 CATALINA TRIM ED,2014,27,25' to 34',8.5,,,,
3238,Chris Craft,26 CATALINA,2014,27,25' to 34',8.5,,,,
3239,Chris Craft,28 CORSAIR,2014,30,25' to 34',10,,,,
3240,Chris Craft,28 CORSAIR HERITAGE EDTN,2014,30,25' to 34',10,,,,
3241,Chris Craft,28 CORSAIR TRIM EDTN,2014,30,25' to 34',10,,,,
3242,Chris Craft,28 LAUNCH,2014,30,25' to 34',10,,,,
3243,Chris Craft,28 LAUNCH HERITAGE EDTN,2014,30,25' to 34',10,,,,
3244,Chris Craft,28 LAUNCH TRIM EDTN,2014,30,25' to 34',10,,,,
3245,Chris Craft,29 CAT ST TEAK ED,2014,30,25' to 34',10.16666667,,,,
3246,Chris Craft,29 CAT ST TRIM ED,2014,30,25' to 34',10.16666667,,,,
3247,Chris Craft,29 CATALINA ST,2014,30,25' to 34',10.16666667,,,,
3248,Chris Craft,32 CORSAIR,2014,34,25' to 34',10.16666667,,,,
3249,Chris Craft,32 CORSAIR HERITAGE EDTN,2014,34,25' to 34',10.16666667,,,,
3250,Chris Craft,32 CORSAIR TRIM EDTN,2014,34,25' to 34',10.16666667,,,,
3251,Chris Craft,32 LAUNCH,2014,34,25' to 34',10,,,,
3252,Chris Craft,32 LAUNCH HERITAGE EDTN,2014,34,25' to 34',10,,,,
3253,Chris Craft,32 LAUNCH TRIM EDTN,2014,34,25' to 34',10,,,,
3254,Chris Craft,36 CORSAIR,2014,38,35' to 44',12.5,,,,
3255,Chris Craft,36 CORSAIR HERITAGE EDTN,2014,38,35' to 44',12.5,,,,
3256,Chris Craft,36 CORSAIR HRTG ED W/HDTP,2014,38,35' to 44',12.5,,,,
3257,Chris Craft,36 CORSAIR TRIM ED W/HDTP,2014,38,35' to 44',12.5,,,,
3258,Chris Craft,36 CORSAIR TRIM EDTN,2014,38,35' to 44',12.5,,,,
3259,Chris Craft,36 CORSAIR W/HARDTOP,2014,38,35' to 44',12.5,,,,
3260,Chris Craft,20 BLUE BULLET,2013,20,<24',7.916666667,,,,
3261,Chris Craft,20 LANCER,2013,20,<24',7.916666667,,,,
3262,Chris Craft,20 LANCER TRIM EDTN,2013,20,<24',7.916666667,,,,
3263,Chris Craft,20 LAUNCH,2013,20,<24',7.916666667,,,,
3264,Chris Craft,20 LAUNCH TRIM EDTN,2013,20,<24',7.916666667,,,,
3265,Chris Craft,20 SILVER BULLET,2013,20,<24',7.916666667,,,,
3266,Chris Craft,22 LAUNCH,2013,23,<24',8.25,,,,
3267,Chris Craft,22 LAUNCH HERITAGE EDTN,2013,23,<24',8.25,,,,
3268,Chris Craft,22 LAUNCH TRIM EDTN,2013,23,<24',8.25,,,,
3269,Chris Craft,23 CATALINA TRIM ED,2013,23,<24',8.333333333,,,,
3270,Chris Craft,23 CATALINA,2013,23,<24',8.333333333,,,,
3271,Chris Craft,22 CORSAIR,2013,24,<24',8.25,,,,
3272,Chris Craft,22 CORSAIR HERITAGE EDTN,2013,24,<24',8.25,,,,
3273,Chris Craft,22 CORSAIR TRIM EDTN,2013,24,<24',8.25,,,,
3274,Chris Craft,25 CORSAIR,2013,27,25' to 34',8.5,,,,
3275,Chris Craft,25 CORSAIR HERITAGE EDTN,2013,27,25' to 34',8.5,,,,
3276,Chris Craft,25 CORSAIR TRIM EDTN,2013,27,25' to 34',8.5,,,,
3277,Chris Craft,25 LAUNCH,2013,27,25' to 34',8.5,,,,
3278,Chris Craft,25 LAUNCH HERITAGE EDTN,2013,27,25' to 34',8.5,,,,
3279,Chris Craft,25 LAUNCH TRIM EDTN,2013,27,25' to 34',8.5,,,,
3280,Chris Craft,26 CATALINA TRIM ED,2013,27,25' to 34',8.5,,,,
3281,Chris Craft,26 CATALINA,2013,27,25' to 34',8.5,,,,
3282,Chris Craft,28 CORSAIR,2013,30,25' to 34',10,,,,
3283,Chris Craft,28 CORSAIR HERITAGE EDTN,2013,30,25' to 34',10,,,,
3284,Chris Craft,28 CORSAIR TRIM EDTN,2013,30,25' to 34',10,,,,
3285,Chris Craft,28 LAUNCH,2013,30,25' to 34',10,,,,
3286,Chris Craft,28 LAUNCH HERITAGE EDTN,2013,30,25' to 34',10,,,,
3287,Chris Craft,28 LAUNCH TRIM EDTN,2013,30,25' to 34',10,,,,
3288,Chris Craft,29 CAT ST TRIM ED,2013,30,25' to 34',10.16666667,,,,
3289,Chris Craft,29 CATALINA ST,2013,30,25' to 34',10.16666667,,,,
3290,Chris Craft,29 CATALINA TRIM ED,2013,30,25' to 34',10.16666667,,,,
3291,Chris Craft,29 CATALINA,2013,30,25' to 34',10.16666667,,,,
3292,Chris Craft,32 CORSAIR,2013,34,25' to 34',10.16666667,,,,
3293,Chris Craft,32 CORSAIR HERITAGE EDTN,2013,34,25' to 34',10.16666667,,,,
3294,Chris Craft,32 CORSAIR TRIM EDTN,2013,34,25' to 34',10.16666667,,,,
3295,Chris Craft,32 LAUNCH,2013,34,25' to 34',10.16666667,,,,
3296,Chris Craft,32 LAUNCH HERITAGE EDTN,2013,34,25' to 34',10.16666667,,,,
3297,Chris Craft,32 LAUNCH TRIM EDTN,2013,34,25' to 34',10.16666667,,,,
3298,Chris Craft,36 CORSAIR,2013,38,35' to 44',12.58333333,,,,
3299,Chris Craft,36 CORSAIR HERITAGE EDTN,2013,38,35' to 44',12.58333333,,,,
3300,Chris Craft,36 CORSAIR HRTG ED W/HDTP,2013,38,35' to 44',12.58333333,,,,
3301,Chris Craft,36 CORSAIR TRIM ED W/HDTP,2013,38,35' to 44',12.58333333,,,,
3302,Chris Craft,36 CORSAIR TRIM EDTN,2013,38,35' to 44',12.58333333,,,,
3303,Chris Craft,36 CORSAIR W/HARDTOP,2013,38,35' to 44',12.58333333,,,,
3304,Chris Craft,20 LANCER,2012,20,<24',7.916666667,,,,
3305,Chris Craft,20 LANCER TRIM EDTN,2012,20,<24',7.916666667,,,,
3306,Chris Craft,20 LAUNCH,2012,20,<24',7.916666667,,,,
3307,Chris Craft,20 LAUNCH TRIM EDTN,2012,20,<24',7.916666667,,,,
3308,Chris Craft,20 SILVER BULLET,2012,20,<24',7.916666667,,,,
3309,Chris Craft,22 LAUNCH,2012,23,<24',8.25,,,,
3310,Chris Craft,22 LAUNCH HERITAGE EDTN,2012,23,<24',8.25,,,,
3311,Chris Craft,22 LAUNCH TRIM EDTN,2012,23,<24',8.25,,,,
3312,Chris Craft,23 CATALINA TRIM ED,2012,23,<24',8.333333333,,,,
3313,Chris Craft,23 CATALINA,2012,23,<24',8.333333333,,,,
3314,Chris Craft,22 CORSAIR,2012,24,<24',8.25,,,,
3315,Chris Craft,22 CORSAIR HERITAGE EDTN,2012,24,<24',8.25,,,,
3316,Chris Craft,22 CORSAIR TRIM EDTN,2012,24,<24',8.25,,,,
3317,Chris Craft,25 CORSAIR,2012,27,25' to 34',8.5,,,,
3318,Chris Craft,25 CORSAIR HERITAGE EDTN,2012,27,25' to 34',8.5,,,,
3319,Chris Craft,25 CORSAIR TRIM EDTN,2012,27,25' to 34',8.5,,,,
3320,Chris Craft,25 LAUNCH,2012,27,25' to 34',8.5,,,,
3321,Chris Craft,25 LAUNCH HERITAGE EDTN,2012,27,25' to 34',8.5,,,,
3322,Chris Craft,25 LAUNCH TRIM EDTN,2012,27,25' to 34',8.5,,,,
3323,Chris Craft,26 CATALINA TRIM ED,2012,27,25' to 34',8.5,,,,
3324,Chris Craft,26 CATALINA,2012,27,25' to 34',8.5,,,,
3325,Chris Craft,28 CORSAIR,2012,30,25' to 34',10,,,,
3326,Chris Craft,28 CORSAIR HERITAGE EDTN,2012,30,25' to 34',10,,,,
3327,Chris Craft,28 CORSAIR TRIM EDTN,2012,30,25' to 34',10,,,,
3328,Chris Craft,28 LAUNCH,2012,30,25' to 34',10,,,,
3329,Chris Craft,28 LAUNCH HERITAGE EDTN,2012,30,25' to 34',10,,,,
3330,Chris Craft,28 LAUNCH TRIM EDTN,2012,30,25' to 34',10,,,,
3331,Chris Craft,29 CAT ST TRIM ED,2012,30,25' to 34',10.16666667,,,,
3332,Chris Craft,29 CATALINA ST,2012,30,25' to 34',10.16666667,,,,
3333,Chris Craft,29 CATALINA TRIM ED,2012,30,25' to 34',10.16666667,,,,
3334,Chris Craft,29 CATALINA,2012,30,25' to 34',10.16666667,,,,
3335,Chris Craft,36 CORSAIR,2012,38,35' to 44',12.58333333,,,,
3336,Chris Craft,36 CORSAIR HERITAGE EDTN,2012,38,35' to 44',12.58333333,,,,
3337,Chris Craft,36 CORSAIR TRIM EDTN,2012,38,35' to 44',12.58333333,,,,
3338,Chris Craft,20 LANCER,2011,20,<24',7.916666667,,,,
3339,Chris Craft,20 LANCER TRIM EDTN,2011,20,<24',7.916666667,,,,
3340,Chris Craft,20 LAUNCH,2011,20,<24',7.916666667,,,,
3341,Chris Craft,20 LAUNCH TRIM EDTN,2011,20,<24',7.916666667,,,,
3342,Chris Craft,20 SILVER BULLET,2011,20,<24',7.916666667,,,,
3343,Chris Craft,22 LAUNCH,2011,23,<24',8.25,,,,
3344,Chris Craft,22 LAUNCH HERITAGE EDTN,2011,23,<24',8.25,,,,
3345,Chris Craft,22 LAUNCH TRIM EDTN,2011,23,<24',8.25,,,,
3346,Chris Craft,23 CATALINA TRIM ED,2011,23,<24',8.333333333,,,,
3347,Chris Craft,23 CATALINA,2011,23,<24',8.333333333,,,,
3348,Chris Craft,22 CORSAIR,2011,24,<24',8.25,,,,
3349,Chris Craft,22 CORSAIR HERITAGE EDTN,2011,24,<24',8.25,,,,
3350,Chris Craft,22 CORSAIR TRIM EDTN,2011,24,<24',8.25,,,,
3351,Chris Craft,25 CORSAIR,2011,27,25' to 34',8.5,,,,
3352,Chris Craft,25 CORSAIR HERITAGE EDTN,2011,27,25' to 34',8.5,,,,
3353,Chris Craft,25 CORSAIR TRIM EDTN,2011,27,25' to 34',8.5,,,,
3354,Chris Craft,25 LAUNCH,2011,27,25' to 34',8.5,,,,
3355,Chris Craft,25 LAUNCH HERITAGE EDTN,2011,27,25' to 34',8.5,,,,
3356,Chris Craft,25 LAUNCH TRIM EDTN,2011,27,25' to 34',8.5,,,,
3357,Chris Craft,26 CATALINA TRIM ED,2011,27,25' to 34',8.5,,,,
3358,Chris Craft,26 CATALINA,2011,27,25' to 34',8.5,,,,
3359,Chris Craft,28 CORSAIR,2011,30,25' to 34',10,,,,
3360,Chris Craft,28 CORSAIR HERITAGE EDTN,2011,30,25' to 34',10,,,,
3361,Chris Craft,28 CORSAIR TRIM EDTN,2011,30,25' to 34',10,,,,
3362,Chris Craft,28 LAUNCH,2011,30,25' to 34',10,,,,
3363,Chris Craft,28 LAUNCH HERITAGE EDTN,2011,30,25' to 34',10,,,,
3364,Chris Craft,28 LAUNCH TRIM EDTN,2011,30,25' to 34',10,,,,
3365,Chris Craft,29 CAT ST TRIM ED,2011,30,25' to 34',10.16666667,,,,
3366,Chris Craft,29 CATALINA ST,2011,30,25' to 34',10.16666667,,,,
3367,Chris Craft,29 CATALINA TRIM ED,2011,30,25' to 34',10.16666667,,,,
3368,Chris Craft,29 CATALINA,2011,30,25' to 34',10.16666667,,,,
3369,Chris Craft,36 CORSAIR,2011,38,35' to 44',12.58333333,,,,
3370,Chris Craft,36 CORSAIR HERITAGE EDTN,2011,38,35' to 44',12.58333333,,,,
3371,Chris Craft,36 CORSAIR TRIM EDTN,2011,38,35' to 44',12.58333333,,,,
3372,Chris Craft,20 LANCER,2010,20,<24',7.916666667,,,,
3373,Chris Craft,20 LANCER TRIM EDTN,2010,20,<24',7.916666667,,,,
3374,Chris Craft,20 LAUNCH,2010,20,<24',7.916666667,,,,
3375,Chris Craft,20 LAUNCH TRIM EDTN,2010,20,<24',7.916666667,,,,
3376,Chris Craft,20 SILVER BULLET,2010,20,<24',7.916666667,,,,
3377,Chris Craft,22 LANCER RMBLE TRIM EDTN,2010,22,<24',8.25,,,,
3378,Chris Craft,22 LANCER RUMBLE,2010,22,<24',8.25,,,,
3379,Chris Craft,22 LAUNCH,2010,22,<24',8.25,,,,
3380,Chris Craft,22 LAUNCH TRIM EDTN,2010,22,<24',8.25,,,,
3381,Chris Craft,22 LAUNCH,2010,23,<24',8.25,,,,
3382,Chris Craft,22 LAUNCH TRIM EDTN,2010,23,<24',8.25,,,,
3383,Chris Craft,23 CATALINA HRTG ED,2010,23,<24',8.333333333,,,,
3384,Chris Craft,23 CATALINA,2010,23,<24',8.333333333,,,,
3385,Chris Craft,22 CORSAIR,2010,24,<24',8.25,,,,
3386,Chris Craft,22 CORSAIR TRIM EDTN,2010,24,<24',8.25,,,,
3387,Chris Craft,25 CORSAIR,2010,27,25' to 34',8.5,,,,
3388,Chris Craft,25 CORSAIR HERITAGE EDTN,2010,27,25' to 34',8.5,,,,
3389,Chris Craft,25 LAUNCH,2010,27,25' to 34',8.5,,,,
3390,Chris Craft,25 LAUNCH HERITAGE EDTN,2010,27,25' to 34',8.5,,,,
3391,Chris Craft,26 CATALINA HRTG ED,2010,27,25' to 34',8.5,,,,
3392,Chris Craft,26 CATALINA,2010,27,25' to 34',8.5,,,,
3393,Chris Craft,28 CORSAIR,2010,30,25' to 34',10,,,,
3394,Chris Craft,28 CORSAIR HERITAGE EDTN,2010,30,25' to 34',10,,,,
3395,Chris Craft,28 LAUNCH,2010,30,25' to 34',10,,,,
3396,Chris Craft,28 LAUNCH HERITAGE EDTN,2010,30,25' to 34',10,,,,
3397,Chris Craft,29 CAT EXPRS HRTG ED,2010,30,25' to 34',10.16666667,,,,
3398,Chris Craft,29 CAT ST HRTG ED,2010,30,25' to 34',10.16666667,,,,
3399,Chris Craft,29 CATALINA EXPRESS,2010,30,25' to 34',10.16666667,,,,
3400,Chris Craft,29 CATALINA HRTG ED,2010,30,25' to 34',10.16666667,,,,
3401,Chris Craft,29 CATALINA ST,2010,30,25' to 34',10.16666667,,,,
3402,Chris Craft,29 CATALINA,2010,30,25' to 34',10.16666667,,,,
3403,Chris Craft,33 CORSAIR,2010,35,35' to 44',12.25,,,,
3404,Chris Craft,33 CORSAIR HERITAGE EDTN,2010,35,35' to 44',12.25,,,,
3405,Chris Craft,36 CORSAIR,2010,38,35' to 44',12.58333333,,,,
3406,Chris Craft,36 CORSAIR HERITAGE EDTN,2010,38,35' to 44',12.58333333,,,,
3407,Chris Craft,20 LANCER,2009,20,<24',7.916666667,,,,
3408,Chris Craft,20 LANCER HERITAGE EDTN,2009,20,<24',7.916666667,,,,
3409,Chris Craft,20 LANCER LTE,2009,20,<24',7.916666667,,,,
3410,Chris Craft,20 SILVER BULLET,2009,20,<24',7.916666667,,,,
3411,Chris Craft,22 LANCER RMBLE HRTG EDTN,2009,22,<24',8.25,,,,
3412,Chris Craft,22 LANCER RUMBLE,2009,22,<24',8.25,,,,
3413,Chris Craft,22 LANCER RUMBLE LTE,2009,22,<24',8.25,,,,
3414,Chris Craft,22 LAUNCH,2009,22,<24',8.25,,,,
3415,Chris Craft,22 LAUNCH HERITAGE EDTN,2009,22,<24',8.25,,,,
3416,Chris Craft,22 LAUNCH LTE,2009,22,<24',8.25,,,,
3417,Chris Craft,22 LAUNCH,2009,23,<24',8.25,,,,
3418,Chris Craft,22 LAUNCH HERITAGE EDTN,2009,23,<24',8.25,,,,
3419,Chris Craft,23 CATALINA HRTG ED,2009,23,<24',8.333333333,,,,
3420,Chris Craft,23 CATALINA,2009,23,<24',8.333333333,,,,
3421,Chris Craft,22 CORSAIR,2009,24,<24',8.25,,,,
3422,Chris Craft,22 CORSAIR HERITAGE EDTN,2009,24,<24',8.25,,,,
3423,Chris Craft,22 CORSAIR LTE,2009,24,<24',8.25,,,,
3424,Chris Craft,23 CATALINA BAY,2009,24,<24',8.333333333,,,,
3425,Chris Craft,25 CORSAIR,2009,27,25' to 34',8.5,,,,
3426,Chris Craft,25 CORSAIR HERITAGE EDTN,2009,27,25' to 34',8.5,,,,
3427,Chris Craft,25 CORSAIR LTE,2009,27,25' to 34',8.5,,,,
3428,Chris Craft,25 LAUNCH,2009,27,25' to 34',8.5,,,,
3429,Chris Craft,25 LAUNCH HERITAGE EDTN,2009,27,25' to 34',8.5,,,,
3430,Chris Craft,25 LAUNCH LTE,2009,27,25' to 34',8.5,,,,
3431,Chris Craft,25 LAUNCH LTE,2009,27,25' to 34',8.416666667,,,,
3432,Chris Craft,26 CATALINA HRTG ED,2009,27,25' to 34',8.5,,,,
3433,Chris Craft,26 CATALINA,2009,27,25' to 34',8.5,,,,
3434,Chris Craft,28 CORSAIR,2009,30,25' to 34',10,,,,
3435,Chris Craft,28 CORSAIR HERITAGE EDTN,2009,30,25' to 34',10,,,,
3436,Chris Craft,28 CORSAIR LTE,2009,30,25' to 34',10,,,,
3437,Chris Craft,28 LAUNCH,2009,30,25' to 34',10,,,,
3438,Chris Craft,28 LAUNCH HERITAGE EDTN,2009,30,25' to 34',10,,,,
3439,Chris Craft,28 LAUNCH LTE,2009,30,25' to 34',10,,,,
3440,Chris Craft,29 CAT EXPRS HRTG ED,2009,30,25' to 34',10.16666667,,,,
3441,Chris Craft,29 CAT ST HRTG ED,2009,30,25' to 34',10.16666667,,,,
3442,Chris Craft,29 CATALINA EXPRESS,2009,30,25' to 34',10.16666667,,,,
3443,Chris Craft,29 CATALINA HRTG ED,2009,30,25' to 34',10.16666667,,,,
3444,Chris Craft,29 CATALINA ST LTE,2009,30,25' to 34',10.16666667,,,,
3445,Chris Craft,29 CATALINA ST,2009,30,25' to 34',10.16666667,,,,
3446,Chris Craft,29 CATALINA,2009,30,25' to 34',10.16666667,,,,
3447,Chris Craft,33 CORSAIR,2009,35,35' to 44',12.25,,,,
3448,Chris Craft,33 CORSAIR HERITAGE EDTN,2009,35,35' to 44',12.25,,,,
3449,Chris Craft,36 CORSAIR,2009,38,35' to 44',12.58333333,,,,
3450,Chris Craft,36 CORSAIR HERITAGE EDTN,2009,38,35' to 44',12.58333333,,,,
3451,Chris Craft,20 LANCER,2008,20,<24',7.916666667,,,,
3452,Chris Craft,20 LANCER HERITAGE EDTN,2008,20,<24',7.916666667,,,,
3453,Chris Craft,20 LANCER WOODY HRTG EDTN,2008,20,<24',7.916666667,,,,
3454,Chris Craft,22 LANCER RMBLE HRTG EDTN,2008,22,<24',8.25,,,,
3455,Chris Craft,22 LANCER RUMBLE,2008,22,<24',8.25,,,,
3456,Chris Craft,22 LAUNCH,2008,23,<24',8.25,,,,
3457,Chris Craft,22 LAUNCH HERITAGE EDTN,2008,23,<24',8.25,,,,
3458,Chris Craft,23 CATALINA HRTG ED,2008,23,<24',8.333333333,,,,
3459,Chris Craft,23 CATALINA,2008,23,<24',8.333333333,,,,
3460,Chris Craft,25 CORSAIR,2008,27,25' to 34',8.5,,,,
3461,Chris Craft,25 CORSAIR HERITAGE EDTN,2008,27,25' to 34',8.5,,,,
3462,Chris Craft,25 LAUNCH,2008,27,25' to 34',8.5,,,,
3463,Chris Craft,25 LAUNCH HERITAGE EDTN,2008,27,25' to 34',8.5,,,,
3464,Chris Craft,26 CATALINA HRTG ED,2008,27,25' to 34',8.5,,,,
3465,Chris Craft,26 CATALINA,2008,27,25' to 34',8.5,,,,
3466,Chris Craft,28 CORSAIR,2008,30,25' to 34',10,,,,
3467,Chris Craft,28 CORSAIR HERITAGE EDTN,2008,30,25' to 34',10,,,,
3468,Chris Craft,28 LAUNCH,2008,30,25' to 34',10,,,,
3469,Chris Craft,28 LAUNCH HERITAGE EDTN,2008,30,25' to 34',10,,,,
3470,Chris Craft,29 CATALINA HRTG ED,2008,30,25' to 34',10.16666667,,,,
3471,Chris Craft,29 CATALINA,2008,30,25' to 34',10.16666667,,,,
3472,Chris Craft,33 CORSAIR,2008,35,35' to 44',12.25,,,,
3473,Chris Craft,33 CORSAIR HERITAGE EDTN,2008,35,35' to 44',12.25,,,,
3474,Chris Craft,36 CORSAIR,2008,38,35' to 44',12.58333333,,,,
3475,Chris Craft,36 CORSAIR HERITAGE EDTN,2008,38,35' to 44',12.58333333,,,,
3476,Chris Craft,40 ROAMER HRTG EDTN IPS,2008,44,35' to 44',14,,,,
3477,Chris Craft,40 ROAMER IPS,2008,44,35' to 44',14,,,,
3478,Chris Craft,SPEEDSTER,2007,20,<24',7.916666667,,,,
3479,Chris Craft,SPEEDSTER HERITAGE EDTN,2007,20,<24',7.916666667,,,,
3480,Chris Craft,SPEEDSTER WOODY HRTG EDTN,2007,20,<24',7.916666667,,,,
3481,Chris Craft,22 LANCER RMBLE HRTG EDTN,2007,23,<24',8.25,,,,
3482,Chris Craft,22 LANCER RUMBLE,2007,23,<24',8.25,,,,
3483,Chris Craft,22 LAUNCH,2007,23,<24',8.25,,,,
3484,Chris Craft,22 LAUNCH HERITAGE EDTN,2007,23,<24',8.25,,,,
3485,Chris Craft,23 CATALINA HRTG ED,2007,24,<24',8.333333333,,,,
3486,Chris Craft,23 CATALINA,2007,24,<24',8.333333333,,,,
3487,Chris Craft,25 CORSAIR,2007,25,25' to 34',8.5,,,,
3488,Chris Craft,25 CORSAIR HERITAGE EDTN,2007,25,25' to 34',8.5,,,,
3489,Chris Craft,25 LAUNCH,2007,27,25' to 34',8.5,,,,
3490,Chris Craft,25 LAUNCH HERITAGE EDTN,2007,27,25' to 34',8.5,,,,
3491,Chris Craft,28 CORSAIR,2007,28,25' to 34',10,,,,
3492,Chris Craft,28 CORSAIR HERITAGE EDTN,2007,28,25' to 34',10,,,,
3493,Chris Craft,28 LAUNCH,2007,28,25' to 34',10,,,,
